context,stratum,metric,n_test_mean,positive_prevalence_mean,comparison,mean,std,ci95_low,ci95_high,n_runs,n_folds,undefined_runs
1hop,medium,normalized_ap,7590.4,0.061853898373360854,Delta_T_given_C_S,0.0016617479444658832,0.0013374818719000324,0.0006842211248346525,0.002595378918525281,15,5,0
1hop,medium,normalized_ap,7590.4,0.061853898373360854,coordinate_plus_frozen_sequence_fm,0.007972810393965142,0.0024427015679198754,0.006038439897146474,0.009904750317322944,15,5,0
1hop,medium,normalized_ap,7590.4,0.061853898373360854,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.009634558338431026,0.00218093924973493,0.007882161038970109,0.011327000650088789,15,5,0
strict,high,auprc,10761.4,0.07050467781656283,Delta_T_given_C_S,0.00035082364849100265,0.0017394383635035244,-0.0009187382093997059,0.0017473313195646048,15,5,0
strict,high,auprc,10761.4,0.07050467781656283,coordinate_plus_frozen_sequence_fm,0.08906650258872711,0.005856387478955917,0.08420503926582162,0.09465128375342882,15,5,0
strict,high,auprc,10761.4,0.07050467781656283,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.08941732623721811,0.006204729778308376,0.08459541004370501,0.09497856273476937,15,5,0
strict,high,auroc,10761.4,0.07050467781656283,Delta_T_given_C_S,0.0002853334134501173,0.003744013079961299,-0.002896438948173303,0.0026027348067820585,15,5,0
strict,high,auroc,10761.4,0.07050467781656283,coordinate_plus_frozen_sequence_fm,0.5411641254288686,0.006207669094520494,0.535085833662918,0.5452832398382026,15,5,0
strict,high,auroc,10761.4,0.07050467781656283,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.5414494588423187,0.006383614868637,0.5360060127787537,0.5463498840126908,15,5,0
strict,high,normalized_ap,10761.4,0.07050467781656283,Delta_T_given_C_S,0.0003804896807595932,0.0018718084143324288,-0.000985048551002389,0.0018821149090683643,15,5,0
strict,high,normalized_ap,10761.4,0.07050467781656283,coordinate_plus_frozen_sequence_fm,0.019972444631360827,0.0047518569395988575,0.015786760094680274,0.023602846265562433,15,5,0
strict,high,normalized_ap,10761.4,0.07050467781656283,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.02035293431212042,0.004588779223954023,0.016123550775551422,0.023768107276604663,15,5,0
strict,low,auprc,5533.4,0.05980380573375331,Delta_T_given_C_S,-0.0003931927076928928,0.0022266934219868553,-0.0023627256241190073,0.001140388372319421,15,5,0
strict,low,auprc,5533.4,0.05980380573375331,coordinate_plus_frozen_sequence_fm,0.07038778366198033,0.010577818364204196,0.06157504035838189,0.07920052696557876,15,5,0
strict,low,auprc,5533.4,0.05980380573375331,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.06999459095428744,0.010323012394244638,0.06137572855993594,0.07868613430587854,15,5,0
strict,low,auroc,5533.4,0.05980380573375331,Delta_T_given_C_S,0.0001134548413281496,0.006115851089804957,-0.005276326245349068,0.0038797364780950856,15,5,0
strict,low,auroc,5533.4,0.05980380573375331,coordinate_plus_frozen_sequence_fm,0.5272478242181673,0.008441616237350855,0.5205053165050259,0.5347883295373069,15,5,0
strict,low,auroc,5533.4,0.05980380573375331,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.5273612790594954,0.011359878781595908,0.5187067173292788,0.5372855300320093,15,5,0
strict,low,normalized_ap,5533.4,0.05980380573375331,Delta_T_given_C_S,-0.00042192985749461425,0.002363209607959927,-0.0025147623741185476,0.0012007220603624563,15,5,0
strict,low,normalized_ap,5533.4,0.05980380573375331,coordinate_plus_frozen_sequence_fm,0.011279394370957967,0.004643888236469348,0.007052390055997658,0.015006325487096574,15,5,0
strict,low,normalized_ap,5533.4,0.05980380573375331,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.010857464513463356,0.004859670054102934,0.006784294653776655,0.01493268830412854,15,5,0
strict,medium,auprc,7590.4,0.061853898373360854,Delta_T_given_C_S,0.0003615973557082893,0.0011413415198168056,-0.0005725009461785028,0.0010357566250563733,15,5,0
strict,medium,auprc,7590.4,0.061853898373360854,coordinate_plus_frozen_sequence_fm,0.06933063790924615,0.00465613669012437,0.06537926805732124,0.07290650796529281,15,5,0
strict,medium,auprc,7590.4,0.061853898373360854,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.06969223526495445,0.004699394790662215,0.06568864654225942,0.07364097747126644,15,5,0
strict,medium,auroc,7590.4,0.061853898373360854,Delta_T_given_C_S,-0.0023138696039980756,0.005249112064532048,-0.00573487582284604,0.0014799403871602274,15,5,0
strict,medium,auroc,7590.4,0.061853898373360854,coordinate_plus_frozen_sequence_fm,0.517474197942893,0.01261885641131127,0.505654496339203,0.5258337405986054,15,5,0
strict,medium,auroc,7590.4,0.061853898373360854,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.5151603283388949,0.01453834850983941,0.5014691811810694,0.5249809235507408,15,5,0
strict,medium,normalized_ap,7590.4,0.061853898373360854,Delta_T_given_C_S,0.000384913879109512,0.0012173451899836953,-0.0006121708260197949,0.0011048003071656048,15,5,0
strict,medium,normalized_ap,7590.4,0.061853898373360854,coordinate_plus_frozen_sequence_fm,0.007972810393965142,0.0024427015679198754,0.006038439897146474,0.009904750317322944,15,5,0
strict,medium,normalized_ap,7590.4,0.061853898373360854,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.008357724273074654,0.002751012639062926,0.006236151848331265,0.010677726547538171,15,5,0
