context,stratum,metric,n_test_mean,positive_prevalence_mean,comparison,mean,std,ci95_low,ci95_high,n_runs,n_folds,undefined_runs
1hop,low,auprc,2159.8,0.4786102143259117,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.500961716610886,0.010424809907793433,0.49295424871057164,0.5097994296847357,15,5,0
1hop,low,auroc,2159.8,0.4786102143259117,Delta_T_given_C_S,-0.00019431045714142967,0.003058691499746838,-0.00201089641022271,0.001956167060076925,15,5,0
1hop,low,auroc,2159.8,0.4786102143259117,coordinate_plus_frozen_sequence_fm,0.5192973160960949,0.009375152847667316,0.5118361872678462,0.5267584449243438,15,5,0
1hop,low,auroc,2159.8,0.4786102143259117,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.5191030056389535,0.008259292066176456,0.5124451954012039,0.5257462212143403,15,5,0
1hop,low,normalized_ap,2159.8,0.4786102143259117,Delta_T_given_C_S,-0.0007810053713057444,0.006058897715133323,-0.005134612402049404,0.0031163455562226265,15,5,0
1hop,low,normalized_ap,2159.8,0.4786102143259117,coordinate_plus_frozen_sequence_fm,0.04370938620976721,0.009906660856411061,0.0345931711274996,0.05159787864114532,15,5,0
1hop,low,normalized_ap,2159.8,0.4786102143259117,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.04292838083846147,0.010765325649656302,0.03396355984247033,0.051077999105714235,15,5,0
1hop,medium,auprc,3095.2,0.48774280256376096,Delta_T_given_C_S,0.003290595557726694,0.0023879916176840483,0.0015760102196392689,0.004978033212313083,15,5,0
1hop,medium,auprc,3095.2,0.48774280256376096,coordinate_plus_frozen_sequence_fm,0.5063409788586141,0.008398286941442972,0.4995659781683429,0.5138550777062606,15,5,0
1hop,medium,auprc,3095.2,0.48774280256376096,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.509631574416341,0.009585912002885125,0.5021348241661657,0.5183279201823132,15,5,0
1hop,medium,auroc,3095.2,0.48774280256376096,Delta_T_given_C_S,0.0019266001797616135,0.003180444025352985,-0.00035232862182464555,0.003943336805585694,15,5,0
1hop,medium,auroc,3095.2,0.48774280256376096,coordinate_plus_frozen_sequence_fm,0.5192958969815392,0.006895070894265657,0.5140580377322782,0.5252781228337441,15,5,0
