fold,seed,closure,feature_set,auprc,auroc,normalized_ap,balanced_accuracy,f1,precision,recall,n_tissues
fold_b,42,strict,frozen_sequence_fm,0.5779006339098337,0.6510755327622029,0.24137493830110449,0.5667999970459127,0.6282975908882317,0.4844295212199878,0.8956916874179722,5
fold_b,42,strict,sequence_kmer,0.5583620040222608,0.6295066630720084,0.20625824125007391,0.542760752983049,0.6217443943776255,0.468541592325619,0.9256402566365706,5
fold_b,314159,1hop,coordinate,0.44870851256780864,0.5156300857087386,0.00942771160254616,0.5007188217750383,0.6130433604465743,0.4434877442582913,0.9935154853231231,5
fold_b,314159,1hop,coordinate_plus_frozen_pangenomefm,0.45594108643115705,0.5224454151622926,0.022530838506028238,0.5000487395520866,0.613917217888172,0.44315513800005074,0.999969156279651,5
fold_b,314159,1hop,coordinate_plus_frozen_sequence_fm,0.5774721777086288,0.6517825373535565,0.24056805903110812,0.5652935716810378,0.6291339977493047,0.48281045276441475,0.9037672267497164,5
fold_b,314159,1hop,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.5771029010341147,0.6526531385108212,0.23991398372792644,0.5634131338958921,0.6288991342069357,0.4810192789117905,0.9086657647059146,5
fold_b,314159,1hop,frozen_pangenomefm,0.4590055680516304,0.5267102176732894,0.028189854952209402,0.5004289785250114,0.6140653168585566,0.4433401369700021,0.9997565823810126,5
fold_b,314159,1hop,frozen_sequence_fm,0.5779006339098337,0.6510755327622029,0.24137493830110449,0.5667999970459127,0.6282975908882317,0.4844295212199878,0.8956916874179722,5
fold_b,314159,1hop,sequence_kmer,0.5583620040222608,0.6295066630720084,0.20625824125007391,0.542760752983049,0.6217443943776255,0.468541592325619,0.9256402566365706,5
fold_b,314159,strict,coordinate,0.44870851256780864,0.5156300857087386,0.00942771160254616,0.5007188217750383,0.6130433604465743,0.4434877442582913,0.9935154853231231,5
fold_b,314159,strict,coordinate_plus_frozen_pangenomefm,0.45310174682582993,0.5204619227129499,0.01747090719151604,0.5003431894661656,0.6131651284271333,0.44329858847598025,0.9950888231323809,5
fold_b,314159,strict,coordinate_plus_frozen_sequence_fm,0.5774721777086288,0.6517825373535565,0.24056805903110812,0.5652935716810378,0.6291339977493047,0.48281045276441475,0.9037672267497164,5
fold_b,314159,strict,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.5764722948364331,0.6512199119233517,0.23877725413542264,0.5639599092922101,0.629164847663988,0.4817180389852121,0.9073436223323323,5
fold_b,314159,strict,frozen_pangenomefm,0.4550194269310093,0.5231700720858358,0.02103407549078442,0.5017212712719787,0.6130643502311386,0.4440137917900768,0.9905364415123925,5
fold_b,314159,strict,frozen_sequence_fm,0.5779006339098337,0.6510755327622029,0.24137493830110449,0.5667999970459127,0.6282975908882317,0.4844295212199878,0.8956916874179722,5
fold_b,314159,strict,sequence_kmer,0.5583620040222608,0.6295066630720084,0.20625824125007391,0.542760752983049,0.6217443943776255,0.468541592325619,0.9256402566365706,5
fold_b,20260806,1hop,coordinate,0.44870851256780864,0.5156300857087386,0.00942771160254616,0.5007188217750383,0.6130433604465743,0.4434877442582913,0.9935154853231231,5
fold_b,20260806,1hop,coordinate_plus_frozen_pangenomefm,0.4658182868277895,0.5344018009130591,0.0405003031168624,0.5000197560090383,0.6135993400117312,0.44314025451110606,0.998464355010326,5
fold_b,20260806,1hop,coordinate_plus_frozen_sequence_fm,0.5774721777086288,0.6517825373535565,0.24056805903110812,0.5652935716810378,0.6291339977493047,0.48281045276441475,0.9037672267497164,5
fold_b,20260806,1hop,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.5790618080214923,0.6522959585802132,0.24345098912027904,0.5647838926075163,0.6293144786468899,0.4825493204109743,0.9052329158051062,5
fold_b,20260806,1hop,frozen_pangenomefm,0.46925600261708195,0.5367599774562523,0.046829810442432916,0.5001332999157089,0.6134902842916831,0.443197832435103,0.9976244184224417,5
fold_b,20260806,1hop,frozen_sequence_fm,0.5779006339098337,0.6510755327622029,0.24137493830110449,0.5667999970459127,0.6282975908882317,0.4844295212199878,0.8956916874179722,5
fold_b,20260806,1hop,sequence_kmer,0.5583620040222608,0.6295066630720084,0.20625824125007391,0.542760752983049,0.6217443943776255,0.468541592325619,0.9256402566365706,5
