closure,fold,seed,stratum,feature_set,n,positive_prevalence,auprc,auroc,normalized_ap
strict,fold_e,20260806,high,coordinate_plus_frozen_sequence_fm,13619,0.43652250532344516,0.5355498809111673,0.6086093902647258,0.17574326663137704
strict,fold_e,20260806,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,13619,0.43652250532344516,0.5401838084614969,0.6142302287518305,0.18396706899102516
strict,fold_e,20260806,low,coordinate_plus_frozen_sequence_fm,8346,0.4251138269829859,0.5342550465405852,0.6119902164703163,0.1898483990053614
strict,fold_e,20260806,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,8346,0.4251138269829859,0.5302938415098737,0.6071557260564694,0.1829579827514393
strict,fold_e,20260806,medium,coordinate_plus_frozen_sequence_fm,16310,0.43408951563458004,0.5610988534717181,0.6376987194789774,0.2244336186482905
strict,fold_e,20260806,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,16310,0.43408951563458004,0.5629505664008585,0.6398495525521666,0.2277057137592635
1hop,fold_e,314159,high,coordinate_plus_frozen_sequence_fm,13619,0.43652250532344516,0.5355498809111673,0.6086093902647258,0.17574326663137704
1hop,fold_e,314159,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,13619,0.43652250532344516,0.537849980082885,0.6088995029364167,0.17982523830451014
1hop,fold_e,314159,low,coordinate_plus_frozen_sequence_fm,8346,0.4251138269829859,0.5342550465405852,0.6119902164703163,0.1898483990053614
1hop,fold_e,314159,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,8346,0.4251138269829859,0.5366115710744823,0.6133952316189619,0.19394751400325747
1hop,fold_e,314159,medium,coordinate_plus_frozen_sequence_fm,16310,0.43408951563458004,0.5610988534717181,0.6376987194789774,0.2244336186482905
1hop,fold_e,314159,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,16310,0.43408951563458004,0.5583916937528208,0.6358100810425351,0.21964989437795315
strict,fold_e,314159,high,coordinate_plus_frozen_sequence_fm,13619,0.43652250532344516,0.5355498809111673,0.6086093902647258,0.17574326663137704
strict,fold_e,314159,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,13619,0.43652250532344516,0.5422609590703485,0.6122855389940759,0.1876533752383473
strict,fold_e,314159,low,coordinate_plus_frozen_sequence_fm,8346,0.4251138269829859,0.5342550465405852,0.6119902164703163,0.1898483990053614
strict,fold_e,314159,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,8346,0.4251138269829859,0.5351699607913427,0.6114524242767444,0.1914398692714769
strict,fold_e,314159,medium,coordinate_plus_frozen_sequence_fm,16310,0.43408951563458004,0.5610988534717181,0.6376987194789774,0.2244336186482905
strict,fold_e,314159,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,16310,0.43408951563458004,0.5623209365610715,0.6402195539600051,0.22659311758516537
1hop,fold_e,42,high,coordinate_plus_frozen_sequence_fm,13619,0.43652250532344516,0.5355498809111673,0.6086093902647258,0.17574326663137704
1hop,fold_e,42,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,13619,0.43652250532344516,0.5369500752348058,0.6096286807682183,0.1782281827759734
1hop,fold_e,42,low,coordinate_plus_frozen_sequence_fm,8346,0.4251138269829859,0.5342550465405852,0.6119902164703163,0.1898483990053614
1hop,fold_e,42,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,8346,0.4251138269829859,0.5374161025807576,0.6143736550789436,0.19534697626907097
1hop,fold_e,42,medium,coordinate_plus_frozen_sequence_fm,16310,0.43408951563458004,0.5610988534717181,0.6376987194789774,0.2244336186482905
1hop,fold_e,42,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,16310,0.43408951563458004,0.5604807947917837,0.6353534286990958,0.22334146945330358
strict,fold_e,42,high,coordinate_plus_frozen_sequence_fm,13619,0.43652250532344516,0.5355498809111673,0.6086093902647258,0.17574326663137704
