closure,fold,seed,stratum,feature_set,n,positive_prevalence,auprc,auroc,normalized_ap
strict,fold_d,20260806,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,8438,0.43197440151694716,0.5441676980807311,0.6260004516188302,0.1975145079084516
strict,fold_d,20260806,medium,coordinate_plus_frozen_sequence_fm,9093,0.47454085560321124,0.5892373989405002,0.6378410220268932,0.2182787083645811
strict,fold_d,20260806,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,9093,0.47454085560321124,0.5889503046305585,0.6382640695307336,0.2177323398923543
1hop,fold_d,314159,high,coordinate_plus_frozen_sequence_fm,14476,0.4684995855208621,0.6069976523414712,0.6700999438336482,0.260579414517174
1hop,fold_d,314159,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,14476,0.4684995855208621,0.6115236362975909,0.6753220078960983,0.2690948997977548
1hop,fold_d,314159,low,coordinate_plus_frozen_sequence_fm,8438,0.43197440151694716,0.5462922038778321,0.6266453106482162,0.20125466645548648
1hop,fold_d,314159,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,8438,0.43197440151694716,0.5426163337373893,0.6263144669423888,0.19478335574297734
1hop,fold_d,314159,medium,coordinate_plus_frozen_sequence_fm,9093,0.47454085560321124,0.5892373989405002,0.6378410220268932,0.2182787083645811
1hop,fold_d,314159,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,9093,0.47454085560321124,0.5843503954899038,0.6364933038496741,0.20897826416695164
strict,fold_d,314159,high,coordinate_plus_frozen_sequence_fm,14476,0.4684995855208621,0.6069976523414712,0.6700999438336482,0.260579414517174
strict,fold_d,314159,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,14476,0.4684995855208621,0.6048354748015337,0.6702677069847347,0.25651135082232923
strict,fold_d,314159,low,coordinate_plus_frozen_sequence_fm,8438,0.43197440151694716,0.5462922038778321,0.6266453106482162,0.20125466645548648
strict,fold_d,314159,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,8438,0.43197440151694716,0.5481576381522766,0.6283567113334289,0.20453873372186723
strict,fold_d,314159,medium,coordinate_plus_frozen_sequence_fm,9093,0.47454085560321124,0.5892373989405002,0.6378410220268932,0.2182787083645811
strict,fold_d,314159,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,9093,0.47454085560321124,0.5936525075830993,0.6406224065786263,0.226681090718527
1hop,fold_d,42,high,coordinate_plus_frozen_sequence_fm,14476,0.4684995855208621,0.6069976523414712,0.6700999438336482,0.260579414517174
