fold,seed,context,feature_set,sample,canonical_sample,in_hprc,unit,n,positive_fraction,threshold,auroc,auprc,accuracy,precision,recall,f1,nll,brier,ece
fold_e,42,1hop,coordinate_plus_frozen_sequence_fm,NA19129,NA19129,False,donor,4846,0.6157655798596781,0.2332431453983942,0.8496915522241067,0.8935022808019556,0.7352455633512175,0.7172413793103448,0.9410187667560321,0.8140310189882591,0.49315485384153135,0.16212909535439424,0.09544302347427612
fold_e,42,1hop,coordinate_plus_frozen_sequence_fm,NA19129,NA19129,False,haplotype_1,2990,0.6160535117056856,0.2332431453983942,0.8697489284106429,0.9080060515665855,0.751505016722408,0.7298201589293183,0.9473398479913138,0.8244743680604772,0.46716449796008463,0.15133359780771227,0.09163939542195156
fold_e,42,1hop,coordinate_plus_frozen_sequence_fm,NA19129,NA19129,False,haplotype_2,3072,0.6129557291666666,0.2332431453983942,0.8511508173480842,0.8885574557367965,0.7418619791666666,0.7217249796582588,0.942113648433351,0.8173231974199493,0.49257756042578765,0.16175953672750967,0.09755883708448833
fold_e,42,1hop,coordinate_plus_frozen_sequence_fm,NA19238,NA19238,False,donor,4858,0.6156854672704817,0.2332431453983942,0.8605564058717843,0.9044280687286113,0.7389872375463153,0.7189326556543837,0.9458375125376128,0.816921744152469,0.48121654853811197,0.15714797132448163,0.09405938158599926
fold_e,42,1hop,coordinate_plus_frozen_sequence_fm,NA19238,NA19238,False,haplotype_1,3072,0.6119791666666666,0.2332431453983942,0.8632601652863059,0.9065217915142599,0.7415364583333334,0.719838056680162,0.9457446808510638,0.8174712643678161,0.4760123274974178,0.15547714289124595,0.09316754920174862
fold_e,42,1hop,coordinate_plus_frozen_sequence_fm,NA19238,NA19238,False,haplotype_2,3015,0.6195688225538972,0.2332431453983942,0.8772892789867992,0.9143588034919772,0.7565505804311774,0.7364470391993327,0.9453961456102784,0.8279418659165495,0.4641926889737153,0.14920174022286917,0.0983290588002006
fold_e,42,1hop,coordinate_plus_frozen_sequence_fm,NA19239,NA19239,False,donor,4819,0.6196306287611537,0.2332431453983942,0.8614487174006065,0.9085372407032485,0.7437227640589333,0.7245447550654014,0.9460817146684528,0.8206245461147422,0.47951269700528215,0.15693264551928918,0.09847116090667576
fold_e,42,1hop,coordinate_plus_frozen_sequence_fm,NA19239,NA19239,False,haplotype_1,3052,0.6163171690694627,0.2332431453983942,0.8752087825079871,0.915074865165859,0.7516382699868939,0.7304062371768568,0.9463051568314726,0.824455766558592,0.46303701383167606,0.14983058241043098,0.0957610233447586
fold_e,42,1hop,coordinate_plus_frozen_sequence_fm,NA19239,NA19239,False,haplotype_2,3060,0.6163398692810458,0.2332431453983942,0.8679501608733591,0.9126212094435157,0.7490196078431373,0.7276058631921825,0.9475079533404029,0.8231229847996315,0.47229701920845046,0.1540619052787703,0.10112765550149846
fold_e,42,1hop,coordinate_plus_frozen_sequence_fm,NA19240,NA19240,True,donor,4880,0.6264344262295082,0.2332431453983942,0.8545912540142844,0.9057472588329246,0.7420081967213115,0.7267911200807265,0.9424272162250572,0.8206808146987609,0.4878380812001559,0.1603218350566472,0.10260698395026305
fold_e,42,1hop,coordinate_plus_frozen_sequence_fm,NA19240,NA19240,True,haplotype_1,3052,0.6179554390563565,0.2332431453983942,0.8683246963724764,0.9123787932047596,0.75,0.7290901672786617,0.9475079533404029,0.8240719391284298,0.4694738467579385,0.15285993474284934,0.09527707479894154
fold_e,42,1hop,coordinate_plus_frozen_sequence_fm,NA19240,NA19240,True,haplotype_2,3096,0.6233850129198967,0.2332431453983942,0.8641398341613415,0.9083313377242854,0.7525839793281653,0.7350565428109854,0.9430051813471503,0.8261461643213799,0.4789972430396956,0.15628396965416438,0.1053022504057613
fold_e,42,1hop,coordinate_plus_frozen_sequence_fm,NA19317,NA19317,False,donor,4666,0.6129447063866267,0.2332431453983942,0.8610861038186619,0.9053561573064236,0.7430347192456065,0.719883505427588,0.9506993006993008,0.8193460901009493,0.4797219234003269,0.15720679135903332,0.09469709454306338
fold_e,42,1hop,coordinate_plus_frozen_sequence_fm,NA19317,NA19317,False,haplotype_1,2978,0.6145063801208865,0.2332431453983942,0.8683883589421375,0.9083668285226312,0.7555406312961719,0.7322934232715008,0.9491803278688524,0.8267491670633031,0.47394772306463645,0.1547584598017055,0.10227224157321149
