sample,unit,context,in_hprc,mean,std,ci95_low,ci95_high,n_runs,n_folds,undefined_runs
HG01505,donor,1hop,False,0.04080941652843686,0.005340676407919085,0.03691750940068198,0.0452225804876382,15,5,0
HG01505,donor,strict,False,0.03483489505553177,0.003257034206242727,0.03230540364582635,0.037431093024104176,15,5,0
HG01505,haplotype_1,1hop,False,0.03892426780450601,0.005016874985243637,0.035060074832148534,0.04317199102760196,15,5,0
HG01505,haplotype_1,strict,False,0.03433069416964171,0.0031235383381356943,0.03170879080737644,0.03667810476595122,15,5,0
HG01505,haplotype_2,1hop,False,0.03951852564739611,0.0055779155773788905,0.03558699467501331,0.04398481228450972,15,5,0
HG01505,haplotype_2,strict,False,0.03344417546723221,0.004038204148377499,0.030288192798106038,0.03675711218985894,15,5,0
HG01573,donor,1hop,False,0.040585871672283905,0.007243216228373217,0.03456130194766993,0.04617921786946358,15,5,0
HG01573,donor,strict,False,0.03495344516673051,0.0034837143168041447,0.03217770834779727,0.037747832107027306,15,5,0
HG01573,haplotype_1,1hop,False,0.04008979083255163,0.0056700606366575975,0.03509010473686049,0.044531984054073534,15,5,0
HG01573,haplotype_1,strict,False,0.03487456917639096,0.003524315234989051,0.03204041654304009,0.03754342971081183,15,5,0
HG01573,haplotype_2,1hop,False,0.04016924452561629,0.008139449801739992,0.03418891830417745,0.04658807468507062,15,5,0
HG01573,haplotype_2,strict,False,0.03470681213628577,0.005137263533001274,0.030764644303784353,0.03913664672620966,15,5,0
HG01596,donor,1hop,False,0.041580467515052864,0.009043549900839002,0.03547262603559828,0.0490267001512163,15,5,0
HG01596,donor,strict,False,0.035791028734068926,0.005825114025511896,0.031533642550978486,0.04090862713676154,15,5,0
HG01596,haplotype_1,1hop,False,0.044485371865150176,0.008696019626222956,0.03893843787516065,0.051819783013069526,15,5,0
HG01596,haplotype_1,strict,False,0.037195237784009336,0.006981087706975714,0.03233095740382071,0.04361143101986867,15,5,0
HG01596,haplotype_2,1hop,False,0.03856797097122191,0.008757254463400317,0.03226338482583426,0.04563785630825597,15,5,0
HG01596,haplotype_2,strict,False,0.034873712820638655,0.005476152226728606,0.03037932428647803,0.039306391902918264,15,5,0
HG01890,donor,1hop,False,0.045204741899219116,0.006414286406172687,0.04025892799495017,0.050244213107664436,15,5,0
HG01890,donor,strict,False,0.03822315586667106,0.004259368145968747,0.03475462361022051,0.04151683863217217,15,5,0
HG01890,haplotype_1,1hop,False,0.04421960067174844,0.007432456271643314,0.03886622069748333,0.050136210718239704,15,5,0
HG01890,haplotype_1,strict,False,0.03862386985247801,0.00565695679762493,0.03398261791137954,0.043106582689161,15,5,0
HG01890,haplotype_2,1hop,False,0.04319921289336193,0.00691390598670993,0.03775177406360407,0.048901464728177114,15,5,0
HG01890,haplotype_2,strict,False,0.036457169049769596,0.004423981396092974,0.03286422465319049,0.0400019971093586,15,5,0
HG02011,donor,1hop,False,0.04486718352152245,0.0054736585251993815,0.040748118585756034,0.04914492486433653,15,5,0
HG02011,donor,strict,False,0.03791169178897581,0.0029613185185054505,0.035783617914173636,0.04026037444435976,15,5,0
HG02011,haplotype_1,1hop,False,0.04340630989698079,0.008087772216842558,0.03757118012120302,0.04972920457088407,15,5,0
HG02011,haplotype_1,strict,False,0.037914100282937443,0.005516368270759391,0.034164189981110295,0.04295533327847762,15,5,0
HG02011,haplotype_2,1hop,False,0.04445710574904648,0.0039555968489616965,0.04107224802757214,0.04763424500885935,15,5,0
HG02011,haplotype_2,strict,False,0.03784574370715592,0.002942523650677228,0.03551046024254759,0.040063776453739756,15,5,0
HG02018,donor,1hop,False,0.041183413210329936,0.005688228224743151,0.03713358363189032,0.04586357178764554,15,5,0
HG02018,donor,strict,False,0.03412406864575971,0.00402041408211202,0.030947629929838093,0.03745984414841266,15,5,0
HG02018,haplotype_1,1hop,False,0.039321425336047204,0.004511008754042464,0.03570837629868581,0.04295326914931828,15,5,0
HG02018,haplotype_1,strict,False,0.03274951721663753,0.0031471521330584873,0.030343168492235357,0.035266040922007684,15,5,0
HG02018,haplotype_2,1hop,False,0.04015764941817737,0.006617224882261307,0.03598512254715339,0.04565159025427286,15,5,0
HG02018,haplotype_2,strict,False,0.03287872072633861,0.0057886216595274724,0.02847948710315532,0.037994808740127624,15,5,0
HG02059,donor,1hop,False,0.040811363075820166,0.004949255264649397,0.03691756351571323,0.044852602203540475,15,5,0
HG02059,donor,strict,False,0.0345652886887204,0.0028390854490778403,0.0323977653144784,0.03690657031662935,15,5,0
HG02059,haplotype_1,1hop,False,0.04112853567874365,0.0055050909802857075,0.03607070577763364,0.045174994830193424,15,5,0
