sample,unit,context,in_hprc,mean_n,mean_prevalence,metric,feature_set,mean,std,ci95_low,ci95_high,n_runs,n_folds,undefined_runs
HG00096,haplotype_1,1hop,False,3326.8,0.6240996969987544,auroc,coordinate_plus_frozen_sequence_fm,0.8721071247464709,0.007313241257792666,0.865876050247323,0.8778613515351322,15,5,0
HG00096,haplotype_1,1hop,False,3326.8,0.6240996969987544,auroc,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.9281089853600315,0.005102959464623434,0.9241376651599201,0.9322654888056939,15,5,0
HG00096,haplotype_1,strict,False,3326.8,0.6240996969987544,auprc,coordinate_plus_frozen_sequence_fm,0.913538204965062,0.010676274277576475,0.9052293512814564,0.9236210686955776,15,5,0
HG00096,haplotype_1,strict,False,3326.8,0.6240996969987544,auprc,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.9481676781598974,0.006480085641876848,0.9438920258233311,0.9542772186821753,15,5,0
HG00096,haplotype_1,strict,False,3326.8,0.6240996969987544,auroc,coordinate_plus_frozen_sequence_fm,0.8721071247464709,0.007313241257792666,0.865876050247323,0.8778613515351322,15,5,0
HG00096,haplotype_1,strict,False,3326.8,0.6240996969987544,auroc,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.9201785503288737,0.005681740120518865,0.9157717930738394,0.924937541205515,15,5,0
HG00096,haplotype_2,1hop,False,3421.6,0.6277891537426712,auprc,coordinate_plus_frozen_sequence_fm,0.9159895801061777,0.011351885583269999,0.9065933105170676,0.925385849695288,15,5,0
HG00096,haplotype_2,1hop,False,3421.6,0.6277891537426712,auprc,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.9555626563937829,0.0064215770211706845,0.9504310741537334,0.9608791676245738,15,5,0
HG00096,haplotype_2,1hop,False,3421.6,0.6277891537426712,auroc,coordinate_plus_frozen_sequence_fm,0.8722653419387263,0.01104723661210603,0.8635305622755252,0.8819966272837436,15,5,0
HG00096,haplotype_2,1hop,False,3421.6,0.6277891537426712,auroc,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.929358604713727,0.007304682952074074,0.9234641399810558,0.9350951698945856,15,5,0
HG00096,haplotype_2,strict,False,3421.6,0.6277891537426712,auprc,coordinate_plus_frozen_sequence_fm,0.9159895801061777,0.011351885583269999,0.9065933105170676,0.925385849695288,15,5,0
HG00096,haplotype_2,strict,False,3421.6,0.6277891537426712,auprc,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.9500923192570556,0.008238076744909431,0.9433077749085289,0.9571098801482547,15,5,0
HG00096,haplotype_2,strict,False,3421.6,0.6277891537426712,auroc,coordinate_plus_frozen_sequence_fm,0.8722653419387263,0.01104723661210603,0.8635305622755252,0.8819966272837436,15,5,0
HG00096,haplotype_2,strict,False,3421.6,0.6277891537426712,auroc,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.9192935252705107,0.009703294036859558,0.9113767778214619,0.9274286590723971,15,5,0
HG00171,donor,1hop,False,5159.8,0.621307560059696,auprc,coordinate_plus_frozen_sequence_fm,0.9098449359301811,0.008028629272329384,0.9035245797799688,0.9159396142684474,15,5,0
HG00171,donor,1hop,False,5159.8,0.621307560059696,auprc,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.9509731231902382,0.004297761045880509,0.9471239236411606,0.9539811261701381,15,5,0
HG00171,donor,1hop,False,5159.8,0.621307560059696,auroc,coordinate_plus_frozen_sequence_fm,0.8641439038444604,0.006996731814259514,0.8573838804363232,0.867997097903622,15,5,0
HG00171,donor,1hop,False,5159.8,0.621307560059696,auroc,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.9234605066397494,0.005547481619666547,0.918326235938946,0.9271570936156418,15,5,0
HG00171,donor,strict,False,5159.8,0.621307560059696,auprc,coordinate_plus_frozen_sequence_fm,0.9098449359301811,0.008028629272329384,0.9035245797799688,0.9159396142684474,15,5,0
HG00171,donor,strict,False,5159.8,0.621307560059696,auprc,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.9441982169087104,0.006180628967259418,0.9389893830884789,0.9489267119303267,15,5,0
HG00171,donor,strict,False,5159.8,0.621307560059696,auroc,coordinate_plus_frozen_sequence_fm,0.8641439038444604,0.006996731814259514,0.8573838804363232,0.867997097903622,15,5,0
HG00171,donor,strict,False,5159.8,0.621307560059696,auroc,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.9122357701367138,0.007169430479649658,0.9056808265248458,0.9171555426819586,15,5,0
HG00171,haplotype_1,1hop,False,3406.8,0.6232983886510985,auprc,coordinate_plus_frozen_sequence_fm,0.9160444334767741,0.008654293448644273,0.9090407817284069,0.9233704915468136,15,5,0
HG00171,haplotype_1,1hop,False,3406.8,0.6232983886510985,auprc,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.9561620484452714,0.004613760854629207,0.9525038187123578,0.9599097556238272,15,5,0
HG00171,haplotype_1,1hop,False,3406.8,0.6232983886510985,auroc,coordinate_plus_frozen_sequence_fm,0.8740390020310758,0.0052158443118172386,0.8693795071656222,0.8780393656968487,15,5,0
HG00171,haplotype_1,1hop,False,3406.8,0.6232983886510985,auroc,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.9310006125728744,0.004602384181129565,0.9272908462249108,0.9345714346347463,15,5,0
HG00171,haplotype_1,strict,False,3406.8,0.6232983886510985,auprc,coordinate_plus_frozen_sequence_fm,0.9160444334767741,0.008654293448644273,0.9090407817284069,0.9233704915468136,15,5,0
HG00171,haplotype_1,strict,False,3406.8,0.6232983886510985,auprc,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.9501174208594978,0.006572832109012085,0.944815111618062,0.9556956162403598,15,5,0
HG00171,haplotype_1,strict,False,3406.8,0.6232983886510985,auroc,coordinate_plus_frozen_sequence_fm,0.8740390020310758,0.0052158443118172386,0.8693795071656222,0.8780393656968487,15,5,0
HG00171,haplotype_1,strict,False,3406.8,0.6232983886510985,auroc,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.9210580565322667,0.006359372497387923,0.9155251895105325,0.9260472181641833,15,5,0
HG00171,haplotype_2,1hop,False,3436.4,0.6245191493558467,auprc,coordinate_plus_frozen_sequence_fm,0.9163379468323464,0.008890988620228617,0.9085838186488967,0.9231577548364577,15,5,0
HG00171,haplotype_2,1hop,False,3436.4,0.6245191493558467,auprc,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.9567516184990105,0.004664945545191644,0.9526074225084014,0.9599101245628446,15,5,0
HG00171,haplotype_2,1hop,False,3436.4,0.6245191493558467,auroc,coordinate_plus_frozen_sequence_fm,0.8725910460614091,0.008545380206206217,0.8642389536605092,0.8778675428529453,15,5,0
