sample,unit,context,in_hprc,mean_n,mean_prevalence,metric,mean,std,ci95_low,ci95_high,n_runs,n_folds,undefined_runs
HG00733,donor,1hop,True,5237.2,0.6200536083605791,auroc,0.059705358383922706,0.003776984685617332,0.05683468270531916,0.06251668753308771,15,5,0
HG00733,donor,strict,True,5237.2,0.6200536083605791,auprc,0.03483770029089513,0.0030620934100660043,0.032682076171102484,0.03739945922184608,15,5,0
HG00733,donor,strict,True,5237.2,0.6200536083605791,auroc,0.048480281827055244,0.0033286080758354675,0.0458637558175573,0.05105655998140752,15,5,0
HG00733,haplotype_1,1hop,True,3444.8,0.6208005709894205,auprc,0.04086721099103446,0.005370302900438602,0.036814845570622444,0.045304074027146785,15,5,0
HG00733,haplotype_1,1hop,True,3444.8,0.6208005709894205,auroc,0.05773741579869259,0.0036710821272199178,0.05521863916083323,0.06070389215297123,15,5,0
HG00733,haplotype_1,strict,True,3444.8,0.6208005709894205,auprc,0.03507045233788365,0.003553148420935668,0.032457261488802805,0.037970263232891835,15,5,0
HG00733,haplotype_1,strict,True,3444.8,0.6208005709894205,auroc,0.04768809859215599,0.003957283280836272,0.044417118771043235,0.05051252611869788,15,5,0
HG00733,haplotype_2,1hop,True,3458.2,0.6250393033782229,auprc,0.039482204050443004,0.005193594807917481,0.035336225920981616,0.04385368111305773,15,5,0
HG00733,haplotype_2,1hop,True,3458.2,0.6250393033782229,auroc,0.05713977535675364,0.004866711350310519,0.05347670026276118,0.06107434389592963,15,5,0
HG00733,haplotype_2,strict,True,3458.2,0.6250393033782229,auprc,0.03343502817639407,0.004183560970209776,0.030195521876525713,0.0368950573582979,15,5,0
HG00733,haplotype_2,strict,True,3458.2,0.6250393033782229,auroc,0.047436985049620635,0.003419365300683569,0.04497773826060501,0.050326908426855284,15,5,0
HG00864,donor,1hop,False,5204.8,0.6173438166539832,auprc,0.040806547306039324,0.005335668584844507,0.03657328435004664,0.045124335154345344,15,5,0
HG00864,donor,1hop,False,5204.8,0.6173438166539832,auroc,0.05888033628228689,0.0030067150154565086,0.0566491969798365,0.06112867794292879,15,5,0
HG00864,donor,strict,False,5204.8,0.6173438166539832,auprc,0.03453838133343455,0.0037697393107584036,0.03132807412716488,0.03740409948098935,15,5,0
HG00864,donor,strict,False,5204.8,0.6173438166539832,auroc,0.04796664347456702,0.0023060480327270943,0.0464057221468973,0.049519537283357846,15,5,0
HG00864,haplotype_1,1hop,False,3504.8,0.6198665700666506,auprc,0.039467051258275446,0.005706976020741394,0.035293953289978676,0.044122653535150665,15,5,0
HG00864,haplotype_1,1hop,False,3504.8,0.6198665700666506,auroc,0.05752854111214131,0.0029848026960658334,0.05571286253486637,0.059632084364765144,15,5,0
HG00864,haplotype_1,strict,False,3504.8,0.6198665700666506,auprc,0.03476997595354739,0.0043092684702460225,0.031236810640715467,0.038274806371437896,15,5,0
HG00864,haplotype_1,strict,False,3504.8,0.6198665700666506,auroc,0.04733693409805574,0.001778193382967311,0.04635693622002003,0.048354176255386024,15,5,0
HG00864,haplotype_2,1hop,False,3503.0,0.6165305589796962,auprc,0.039973321666180235,0.0053517836665320445,0.035697232774206514,0.044263498524434355,15,5,0
HG00864,haplotype_2,1hop,False,3503.0,0.6165305589796962,auroc,0.05704980598482183,0.003043416976309928,0.05487319395471974,0.0595231480215273,15,5,0
HG00864,haplotype_2,strict,False,3503.0,0.6165305589796962,auprc,0.03300170630463209,0.004089200051245832,0.029694077642351966,0.036260937414852236,15,5,0
HG00864,haplotype_2,strict,False,3503.0,0.6165305589796962,auroc,0.04622273286449692,0.0016223281340476225,0.04525924005960789,0.047119648642774674,15,5,0
HG01114,donor,1hop,False,5251.8,0.620165684381467,auprc,0.04180139944299488,0.005370417439811943,0.0378861350622868,0.046071222692041364,15,5,0
HG01114,donor,1hop,False,5251.8,0.620165684381467,auroc,0.05928043642742684,0.00485917448770816,0.05573581111224874,0.06313137313233241,15,5,0
HG01114,donor,strict,False,5251.8,0.620165684381467,auprc,0.03541367558322483,0.004745794921266911,0.031780150575849306,0.03943801558041522,15,5,0
HG01114,donor,strict,False,5251.8,0.620165684381467,auroc,0.047872731444136805,0.0031455591457690436,0.0456430357048674,0.05049799692768145,15,5,0
HG01114,haplotype_1,1hop,False,3492.2,0.6223530862527458,auprc,0.04217467470512482,0.006526714750443409,0.037256875847127106,0.04759294042789419,15,5,0
HG01114,haplotype_1,1hop,False,3492.2,0.6223530862527458,auroc,0.05910948315660605,0.005997083859042572,0.05505119055325186,0.06434575727815892,15,5,0
HG01114,haplotype_1,strict,False,3492.2,0.6223530862527458,auprc,0.03646604885971728,0.006093003962623348,0.03184986895506626,0.041718349189859984,15,5,0
HG01114,haplotype_1,strict,False,3492.2,0.6223530862527458,auroc,0.04836816165063714,0.004774951832814222,0.04461072665917363,0.05260556681618334,15,5,0
HG01114,haplotype_2,1hop,False,3429.0,0.6220242934492586,auprc,0.040208905439175796,0.008022219753306511,0.03391920813069549,0.04671976326774752,15,5,0
