family,stratum,context,mean_n,mean_prevalence,sufficiently_powered,metric,feature_set,mean,std,ci95_low,ci95_high,n_runs,n_folds,undefined_runs
length,"bp[100,500)",strict,15500.2,0.6732918005334105,True,f1,coordinate_plus_frozen_sequence_fm,0.8389225437612873,0.008539653292399852,0.8318655276816198,0.845979559840955,15,5,0
length,"bp[100,500)",strict,15500.2,0.6732918005334105,True,f1,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.8556552827770655,0.008605048152490356,0.8486365128798914,0.8626629656449474,15,5,0
length,"bp[100,500)",strict,15500.2,0.6732918005334105,True,f1,frozen_pangenomefm,0.8557076356898639,0.010018045739660081,0.8476181049468159,0.863774232327126,15,5,0
length,"bp[100,500)",strict,15500.2,0.6732918005334105,True,f1,frozen_sequence_fm,0.8383253498709556,0.008948649091869878,0.8308733584636363,0.8457773412782749,15,5,0
length,"bp[100,500)",strict,15500.2,0.6732918005334105,True,f1,sequence_kmer,0.8094210222151446,0.009442571786345184,0.8011038790719649,0.8169036084805331,15,5,0
length,"bp[100,500)",strict,15500.2,0.6732918005334105,True,precision,coordinate,0.7543134949339525,0.024705130167005842,0.7333510613397283,0.775275928528177,15,5,0
length,"bp[100,500)",strict,15500.2,0.6732918005334105,True,precision,coordinate_plus_frozen_pangenomefm,0.7849559600254146,0.016261884568668235,0.7716116827322071,0.798266488527474,15,5,0
length,"bp[100,500)",strict,15500.2,0.6732918005334105,True,precision,coordinate_plus_frozen_sequence_fm,0.7574091258694181,0.0220874601578414,0.7390986696878973,0.7757195820509389,15,5,0
length,"bp[100,500)",strict,15500.2,0.6732918005334105,True,precision,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.7860937298005162,0.01589614760912537,0.773799777736437,0.7997399382677064,15,5,0
length,"bp[100,500)",strict,15500.2,0.6732918005334105,True,precision,frozen_pangenomefm,0.7846871422280266,0.013996324761300286,0.7738021922199836,0.7962174328893794,15,5,0
length,"bp[100,500)",strict,15500.2,0.6732918005334105,True,precision,frozen_sequence_fm,0.750873970287174,0.020380201246397958,0.7333198576687693,0.7684280829055787,15,5,0
length,"bp[100,500)",strict,15500.2,0.6732918005334105,True,precision,sequence_kmer,0.6933670276553083,0.011575015122652615,0.6839345702357182,0.7029827512146795,15,5,0
length,"bp[100,500)",strict,15500.2,0.6732918005334105,True,recall,coordinate,0.9164528054672085,0.01239236293906488,0.9051013637215947,0.9251751230188131,15,5,0
length,"bp[100,500)",strict,15500.2,0.6732918005334105,True,recall,coordinate_plus_frozen_pangenomefm,0.9438618632102457,0.010552376746937767,0.9356636610248671,0.9513608107337121,15,5,0
length,"bp[100,500)",strict,15500.2,0.6732918005334105,True,recall,coordinate_plus_frozen_sequence_fm,0.9410321379178406,0.014706382578421487,0.9275225140794158,0.9516070399414389,15,5,0
length,"bp[100,500)",strict,15500.2,0.6732918005334105,True,recall,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.9390856140115308,0.011432676104252788,0.9306178666867918,0.9475665975081664,15,5,0
length,"bp[100,500)",strict,15500.2,0.6732918005334105,True,recall,frozen_pangenomefm,0.9410467387228549,0.010650007777742531,0.9338822054390739,0.9478946372456466,15,5,0
length,"bp[100,500)",strict,15500.2,0.6732918005334105,True,recall,frozen_sequence_fm,0.9495831254253319,0.012604740892129047,0.9388204178253188,0.9603458330253452,15,5,0
length,"bp[100,500)",strict,15500.2,0.6732918005334105,True,recall,sequence_kmer,0.9723851757208007,0.014363662245638351,0.9613600464538921,0.9852578196948054,15,5,0
length,"bp[1000,10000)",1hop,3830.4,0.6012375222628602,True,auprc,coordinate,0.8784179408444348,0.029160883939568196,0.8501001504524938,0.8956723552113244,15,5,0
length,"bp[1000,10000)",1hop,3830.4,0.6012375222628602,True,auprc,coordinate_plus_frozen_pangenomefm,0.9330091110438105,0.010435853318307983,0.9246368102758638,0.9408618515237523,15,5,0
length,"bp[1000,10000)",1hop,3830.4,0.6012375222628602,True,auprc,coordinate_plus_frozen_sequence_fm,0.8906403676598404,0.012027686293443918,0.8815290758659758,0.9011557998501386,15,5,0
length,"bp[1000,10000)",1hop,3830.4,0.6012375222628602,True,auprc,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.9346623732701548,0.007566593774228883,0.9285673781586803,0.9406447321955018,15,5,0
