fold,seed,context,feature_set,family,stratum,positive_count,negative_count,positive_prevalence,sufficiently_powered,class_recall,balanced_accuracy,normalized_ap,n,positive_fraction,threshold,auroc,auprc,accuracy,precision,recall,f1,nll,brier,ece
fold_b,20260806,1hop,sequence_kmer,complexity,high,17550,10923,0.6163734063849963,True,0.6249780493801145,0.5274454280194462,0.3826258389002399,28473,0.6163734063849963,0.2743332177494537,0.6647677331061017,0.7631588535913785,0.6249780493801145,0.6303984819734345,0.9464957264957264,0.7567653758542141,0.6635404464776182,0.23373099564926883,0.12135148719701846
fold_b,20260806,1hop,sequence_kmer,complexity,low,4052,2147,0.6536538151314728,True,0.68656234876593,0.5574714896379668,0.4408720475567719,6199,0.6536538151314728,0.2743332177494537,0.7106745977191711,0.8063481668179366,0.68656234876593,0.6814037502150353,0.9775419545903258,0.8030410542321338,0.6147837549777437,0.21272733560979823,0.12045951000563566
fold_b,20260806,1hop,sequence_kmer,complexity,medium,5345,3200,0.6255119953188999,True,0.6560561732007022,0.5504377630963517,0.4520080434668593,8545,0.6255119953188999,0.2743332177494537,0.710385757717493,0.794783585616612,0.6560561732007022,0.650827482447342,0.9711880261927035,0.7793709180992417,0.6189793539247357,0.21465721282329667,0.10261876172743423
fold_b,20260806,1hop,sequence_kmer,start_complexity,high,17550,10923,0.6163734063849963,True,0.6249780493801145,0.5274454280194462,0.3826258389002399,28473,0.6163734063849963,0.2743332177494537,0.6647677331061017,0.7631588535913785,0.6249780493801145,0.6303984819734345,0.9464957264957264,0.7567653758542141,0.6635404464776182,0.23373099564926883,0.12135148719701846
fold_b,20260806,1hop,sequence_kmer,start_complexity,low,4052,2147,0.6536538151314728,True,0.68656234876593,0.5574714896379668,0.4408720475567719,6199,0.6536538151314728,0.2743332177494537,0.7106745977191711,0.8063481668179366,0.68656234876593,0.6814037502150353,0.9775419545903258,0.8030410542321338,0.6147837549777437,0.21272733560979823,0.12045951000563566
fold_b,20260806,1hop,sequence_kmer,start_complexity,medium,5345,3200,0.6255119953188999,True,0.6560561732007022,0.5504377630963517,0.4520080434668593,8545,0.6255119953188999,0.2743332177494537,0.710385757717493,0.794783585616612,0.6560561732007022,0.650827482447342,0.9711880261927035,0.7793709180992417,0.6189793539247357,0.21465721282329667,0.10261876172743423
fold_b,20260806,1hop,sequence_kmer,length,bp>=1e+06,4,0,1.0,False,1.0,,,4,1.0,0.2743332177494537,,,1.0,1.0,1.0,1.0,0.6780101897073731,0.2416983894330525,0.48400684858387844
fold_b,20260806,1hop,sequence_kmer,length,"bp[100,500)",12677,6604,0.6574866448835641,True,0.6754836367408329,0.5455676930234208,0.47020779099087495,19281,0.6574866448835641,0.2743332177494537,0.7175875490396983,0.8185390929777365,0.6754836367408329,0.6796306659205372,0.9580342352291552,0.7951681016139064,0.6355061672994973,0.2220938143983823,0.1518596476875144
fold_b,20260806,1hop,sequence_kmer,length,"bp[1000,10000)",2822,1891,0.5987693613409718,True,0.5977084659452578,0.5033884253847443,0.45994208475796683,4713,0.5987693613409718,0.2743332177494537,0.646354791112064,0.7833122177545757,0.5977084659452578,0.6004338394793927,0.9808646350106307,0.7448869752421959,0.631419906460121,0.22159426516171396,0.09318844620095877
fold_b,20260806,1hop,sequence_kmer,length,"bp[10000,100000)",432,230,0.6525679758308157,True,0.648036253776435,0.49856078904991946,0.24553801630222558,662,0.6525679758308157,0.2743332177494537,0.5338818438003221,0.7378757458451841,0.648036253776435,0.6519083969465649,0.9884259259259259,0.7856485740570377,0.6671263748442853,0.23813483642351066,0.12962010850679787
fold_b,20260806,1hop,sequence_kmer,length,"bp[100000,1e+06)",21,16,0.5675675675675675,False,0.5675675675675675,0.5,0.07915973165289887,37,0.5675675675675675,0.2743332177494537,0.5297619047619048,0.6017988028769292,0.5675675675675675,0.5675675675675675,1.0,0.7241379310344828,0.687491753945255,0.24708296781663325,0.09075204131245129
fold_b,20260806,1hop,sequence_kmer,length,"bp[50,100)",8900,6426,0.5807125146809343,True,0.6043325068511027,0.5394572260864396,0.3068143061752541,15326,0.5807125146809343,0.2743332177494537,0.656350613903489,0.7093559135770705,0.6043325068511027,0.601867816091954,0.9413483146067416,0.7342681858019281,0.6768480910025609,0.23826757231672313,0.10528092455723022
fold_b,20260806,1hop,sequence_kmer,length,"bp[500,1000)",2091,1103,0.6546649968691296,True,0.6574827802128992,0.5192872098311938,0.5838114143269806,3194,0.6546649968691296,0.2743332177494537,0.7260610057436504,0.8562755134635753,0.6574827802128992,0.6638186000657246,0.9660449545671927,0.7869107908063888,0.6014317594226667,0.20725038528931222,0.1067680582932897
fold_b,20260806,1hop,sequence_kmer,allele_frequency,"af[0.001,0.01)",6972,4589,0.6030620188565003,True,0.6128362598391143,0.521622242167312,0.33624993358417216,11561,0.6030620188565003,0.2743332177494537,0.6392346461461449,0.7365323886530375,0.6128362598391143,0.613993423456339,0.9641422834193919,0.7502232142857143,0.6600152315437378,0.23378902173371147,0.09209433787320824
fold_b,20260806,1hop,sequence_kmer,allele_frequency,"af[0.01,0.05)",9521,5284,0.6430935494765282,True,0.6507936507936508,0.5303683355514934,0.4130853721719329,14805,0.6430935494765282,0.2743332177494537,0.6832945019499905,0.7905263834215801,0.6507936507936508,0.6580917084514207,0.9511605923747506,0.7779400395155055,0.6502155751018177,0.22794420544139474,0.13482634245419653
fold_b,20260806,1hop,sequence_kmer,allele_frequency,"af[0.05,0.5)",9166,5531,0.6236646934748589,True,0.6450295978771178,0.5442670776773115,0.4376081752146624,14697,0.6236646934748589,0.2743332177494537,0.6989673047867428,0.7883521002321765,0.6450295978771178,0.6462917685411573,0.9516692123063496,0.7698009972201385,0.6433439109682711,0.22452953882802532,0.12034942605406578
fold_b,20260806,1hop,sequence_kmer,allele_frequency,"af[0.5,1)",1288,866,0.5979572887650882,True,0.6764159702878366,0.6024934373789681,0.5745757441468069,2154,0.5979572887650882,0.2743332177494537,0.8004635971769971,0.8289612787516875,0.6764159702878366,0.652871184687015,0.9798136645962733,0.783607575287178,0.5947572275723656,0.19986341790300116,0.16517377090129445
fold_b,20260806,1hop,sequence_kmer,carrier_frequency,AC_gt1,19876,11617,0.6311243768456483,True,0.6504302543422348,0.5425864297700577,0.4371316196964034,31493,0.6311243768456483,0.2743332177494537,0.7002753583364315,0.7923715754616302,0.6504302543422348,0.6526214327515577,0.9538136445964983,0.774982115482882,0.6425508010565887,0.2241407061217258,0.12601934000842638
fold_b,20260806,1hop,sequence_kmer,carrier_frequency,singleton_AC1,7071,4653,0.603121801432958,True,0.6118219037871033,0.5207351592090577,0.33263710356635173,11724,0.603121801432958,0.2743332177494537,0.6371503059007009,0.7351382158729303,0.6118219037871033,0.6136158701532912,0.9623815584782917,0.7494080722427179,0.6616647757826661,0.23448498961534706,0.09284421765811539
fold_b,20260806,1hop,sequence_kmer,sv_type,DEL,0,16270,0.0,False,0.11641057160417947,,,16270,0.0,0.2743332177494537,,,0.11641057160417947,0.0,0.0,0.0,0.627634411690881,0.21641392581231012,0.4426692227374776
fold_b,20260806,1hop,sequence_kmer,sv_type,INS,26947,0,1.0,False,0.9560618992837793,,,26947,1.0,0.2743332177494537,,,0.9560618992837793,1.0,0.9560618992837793,0.9775374691709353,0.659873022256299,0.23330651661318713,0.4532006919389804
fold_b,20260806,strict,coordinate,complexity,high,17550,10923,0.6163734063849963,True,0.6708811856846837,0.5993727733606888,0.5762500867047189,28473,0.6163734063849963,0.2790009501876743,0.754116909534835,0.8374382642178781,0.6708811856846837,0.6729687433912787,0.9066096866096867,0.7725098924574564,0.5933471502522251,0.20483351252867932,0.10745364788937696
fold_b,20260806,strict,coordinate,complexity,low,4052,2147,0.6536538151314728,True,0.742861751895467,0.6560466727144237,0.6130470834453927,6199,0.6536538151314728,0.2790009501876743,0.8006546589722522,0.8659803336275622,0.742861751895467,0.7387334887334888,0.9385488647581441,0.8267391304347826,0.5384566104540214,0.17875387700291145,0.10082767397509713
fold_b,20260806,strict,coordinate,complexity,medium,5345,3200,0.6255119953188999,True,0.7197191339964891,0.647915984565014,0.6346804398724938,8545,0.6255119953188999,0.2790009501876743,0.8051851905986904,0.863192206856873,0.7197191339964891,0.7096957634347455,0.933956969130028,0.8065271831327248,0.5414075181712337,0.1809402815137305,0.08778818116354593
fold_b,20260806,strict,coordinate,start_complexity,high,17550,10923,0.6163734063849963,True,0.6708811856846837,0.5993727733606888,0.5762500867047189,28473,0.6163734063849963,0.2790009501876743,0.754116909534835,0.8374382642178781,0.6708811856846837,0.6729687433912787,0.9066096866096867,0.7725098924574564,0.5933471502522251,0.20483351252867932,0.10745364788937696
fold_b,20260806,strict,coordinate,start_complexity,low,4052,2147,0.6536538151314728,True,0.742861751895467,0.6560466727144237,0.6130470834453927,6199,0.6536538151314728,0.2790009501876743,0.8006546589722522,0.8659803336275622,0.742861751895467,0.7387334887334888,0.9385488647581441,0.8267391304347826,0.5384566104540214,0.17875387700291145,0.10082767397509713
fold_b,20260806,strict,coordinate,start_complexity,medium,5345,3200,0.6255119953188999,True,0.7197191339964891,0.647915984565014,0.6346804398724938,8545,0.6255119953188999,0.2790009501876743,0.8051851905986904,0.863192206856873,0.7197191339964891,0.7096957634347455,0.933956969130028,0.8065271831327248,0.5414075181712337,0.1809402815137305,0.08778818116354593
fold_b,20260806,strict,coordinate,length,bp>=1e+06,4,0,1.0,False,1.0,,,4,1.0,0.2790009501876743,,,1.0,1.0,1.0,1.0,0.11493753977286493,0.014648022773517289,0.10685197133014043
fold_b,20260806,strict,coordinate,length,"bp[100,500)",12677,6604,0.6574866448835641,True,0.720398319589233,0.6265851138430998,0.6571493647032699,19281,0.6574866448835641,0.2790009501876743,0.8004802571003434,0.8825690786007154,0.720398319589233,0.7255448241703814,0.9244300702058846,0.813000797807763,0.5616364915883876,0.19074894284451502,0.13382435354667466
fold_b,20260806,strict,coordinate,length,"bp[1000,10000)",2822,1891,0.5987693613409718,True,0.6121366433269679,0.519449246889571,0.7090315854948914,4713,0.5987693613409718,0.2790009501876743,0.8161116797422684,0.8832545572185104,0.6121366433269679,0.6083733100741386,0.9886605244507441,0.7532397408207343,0.5285487005486227,0.1790632260994037,0.09398194714895866
fold_b,20260806,strict,coordinate,length,"bp[10000,100000)",432,230,0.6525679758308157,True,0.6601208459214502,0.512902576489533,0.5876465372845097,662,0.6525679758308157,0.2790009501876743,0.7490891706924316,0.8567352017755849,0.6601208459214502,0.6584992343032159,0.9953703703703703,0.7926267281105991,0.5614619220926471,0.19353480037147147,0.07225588616800968
fold_b,20260806,strict,coordinate,length,"bp[100000,1e+06)",21,16,0.5675675675675675,False,0.5945945945945946,0.53125,0.3257739039713195,37,0.5675675675675675,0.2790009501876743,0.625,0.7084427692848949,0.5945945945945946,0.5833333333333334,1.0,0.7368421052631579,0.6745349568938669,0.23988936198530053,0.17654341294983084
fold_b,20260806,strict,coordinate,length,"bp[50,100)",8900,6426,0.5807125146809343,True,0.6802818739397103,0.6444750434505888,0.5055204944644205,15326,0.5807125146809343,0.2790009501876743,0.7493293834387686,0.7926709315821718,0.6802818739397103,0.6751313485113836,0.8662921348314607,0.7588582677165354,0.6249826231587289,0.21604992985715069,0.12770249521766736
fold_b,20260806,strict,coordinate,length,"bp[500,1000)",2091,1103,0.6546649968691296,True,0.6865998747651847,0.5588746919947467,0.7531250887624099,3194,0.6546649968691296,0.2790009501876743,0.8386639975407274,0.9147454517548335,0.6865998747651847,0.6832548755884331,0.9717838354854137,0.8023692003948667,0.4893678589817591,0.1616980207865445,0.08292271111799823
fold_b,20260806,strict,coordinate,allele_frequency,"af[0.001,0.01)",6972,4589,0.6030620188565003,True,0.6561716114522965,0.5860036197462389,0.48961222279256056,11561,0.6030620188565003,0.2790009501876743,0.7199945690679163,0.7974077061149607,0.6561716114522965,0.6510432416087087,0.9264199655765921,0.7646954359793997,0.6064159221593802,0.21018007116844165,0.0634615951929303
fold_b,20260806,strict,coordinate,allele_frequency,"af[0.01,0.05)",9521,5284,0.6430935494765282,True,0.6990206011482607,0.6127113251626489,0.6135184584963068,14805,0.6430935494765282,0.2790009501876743,0.7777817786110642,0.862062244829077,0.6990206011482607,0.7051437829080599,0.9142947169414978,0.7962132991859507,0.5784083445867104,0.1979772360781749,0.12597405647314072
fold_b,20260806,strict,coordinate,allele_frequency,"af[0.05,0.5)",9166,5531,0.6236646934748589,True,0.7018439137238892,0.6346643753871273,0.6502548171600949,14697,0.6236646934748589,0.2790009501876743,0.7979468903436892,0.8683785394102528,0.7018439137238892,0.7021978021978021,0.90628409338861,0.7912935797294722,0.5621031312986348,0.190689383269739,0.11472549181342194
fold_b,20260806,strict,coordinate,allele_frequency,"af[0.5,1)",1288,866,0.5979572887650882,True,0.7460538532961931,0.694206066300403,0.7562202097693261,2154,0.5979572887650882,0.2790009501876743,0.8872269160701735,0.9019901121913818,0.7460538532961931,0.7142857142857143,0.9588509316770186,0.8186940669539278,0.47504802308375027,0.14992940690523412,0.1427655595951803
fold_b,20260806,strict,coordinate,carrier_frequency,AC_gt1,19876,11617,0.6311243768456483,True,0.7039024545137015,0.6294633619202592,0.6431659599812545,31493,0.6311243768456483,0.2790009501876743,0.7961873038681263,0.8683726211254004,0.7039024545137015,0.704834012813046,0.9133125377339505,0.7956433126602529,0.5633335737916256,0.1911033207792642,0.11709478605746924
fold_b,20260806,strict,coordinate,carrier_frequency,singleton_AC1,7071,4653,0.603121801432958,True,0.6558341862845445,0.5854432991119547,0.4874122579583339,11724,0.603121801432958,0.2790009501876743,0.7189140614022587,0.796565100330956,0.6558341862845445,0.6507447864945383,0.92674303493141,0.7645994982789802,0.6070904930646205,0.21051157540119364,0.06371907011774806
fold_b,20260806,strict,coordinate,sv_type,DEL,0,16270,0.0,False,0.31659496004917026,,,16270,0.0,0.2790009501876743,,,0.31659496004917026,0.0,0.0,0.0,0.5527910377688949,0.18070786037503875,0.385686049217102
