baseline,context,locus_complexity_category,metric,n_regions,region_mean,region_median,n_chromosomes,chromosome_block_mean,ci95_low,ci95_high,chromosome_sign_flip_p_two_sided
topology_degree_sum,1hop,high,auprc_advantage,203,0.0961356000233793,0.0902529049011756,24,0.0953631398253838,0.0912144095912903,0.0995646306363027,9.999000099990002e-05
topology_degree_sum,1hop,high,model_score,203,0.1971032626749285,0.1842658743470324,24,0.1826036796365726,0.1585704274205985,0.205467946808365,9.999000099990002e-05
topology_degree_sum,1hop,high,auroc_advantage,203,0.0769642682181612,0.0761679479597871,24,0.0750062381789243,0.0704455861392233,0.0790613225555141,9.999000099990002e-05
topology_degree_sum,strict,low,auprc_advantage,201,-0.023631754066649,-0.0199409262002033,23,-0.0296283320682003,-0.0418972754596941,-0.0179442080170431,9.999000099990002e-05
topology_degree_sum,strict,low,model_score,201,-0.1475935430752366,-0.1573394093190225,23,-0.150000499579102,-0.1715184618531747,-0.1292357540592281,9.999000099990002e-05
topology_degree_sum,strict,low,auroc_advantage,201,-0.0183097038898546,-0.0153144346692734,23,-0.0228292465049345,-0.0331648568269028,-0.0145632150725851,9.999000099990002e-05
topology_degree_sum,strict,medium,auprc_advantage,202,-0.0187351873894881,-0.0200098857254323,23,-0.0208011255059186,-0.0313453804652681,-0.0119459150812724,0.0002999700029997
topology_degree_sum,strict,medium,model_score,202,-0.1447276494103961,-0.152872312320824,23,-0.1438590924702697,-0.1652537690251563,-0.1230667932233116,9.999000099990002e-05
topology_degree_sum,strict,medium,auroc_advantage,202,-0.0163727702933617,-0.0197714211076278,23,-0.0168032679134038,-0.0232358685905757,-0.0103827455451677,9.999000099990002e-05
topology_degree_sum,strict,high,auprc_advantage,203,-0.0291511531842053,-0.028252875808135,24,-0.0325304105997182,-0.0420137986761761,-0.0246125705408551,9.999000099990002e-05
topology_degree_sum,strict,high,model_score,203,-0.1808901027171431,-0.189768859906112,24,-0.1891939421705075,-0.2219137142077195,-0.1584181243739539,9.999000099990002e-05
topology_degree_sum,strict,high,auroc_advantage,203,-0.02444073297805,-0.0237117017811959,24,-0.0267659484262781,-0.0339562155251211,-0.0200665137476111,9.999000099990002e-05
topology_preferential_attachment,1hop,low,auprc_advantage,201,0.0709156405576233,0.0697984406643804,23,0.0707353445848297,0.05656358490484,0.0852951183132195,9.999000099990002e-05
topology_preferential_attachment,1hop,low,model_score,201,0.2383968298939149,0.2305405828419835,23,0.2506093662430146,0.1998563771877946,0.2929434410802555,9.999000099990002e-05
topology_preferential_attachment,1hop,low,auroc_advantage,201,0.124635550988348,0.1212797619047618,23,0.1208455691080207,0.102109540427623,0.1385297138544509,9.999000099990002e-05
topology_preferential_attachment,1hop,medium,auprc_advantage,202,0.0718355502342288,0.0709229211991969,23,0.0714294122816356,0.064446091765665,0.0776193516897985,9.999000099990002e-05
topology_preferential_attachment,1hop,medium,model_score,202,0.23026955477702,0.2263165953622737,23,0.245542784829039,0.2283940588230247,0.2649892124381148,9.999000099990002e-05
topology_preferential_attachment,1hop,medium,auroc_advantage,202,0.1212410354445341,0.1187047601521285,23,0.1207102993206003,0.1088947428978515,0.1299031656555039,9.999000099990002e-05
topology_preferential_attachment,1hop,high,auprc_advantage,203,0.0683234505696772,0.067360237658407,24,0.0678792511533285,0.0640387736972502,0.0719040190211743,9.999000099990002e-05
topology_preferential_attachment,1hop,high,model_score,203,0.204371342369106,0.1991394560308904,24,0.189488227187254,0.1660807589299462,0.2106505737437163,9.999000099990002e-05
topology_preferential_attachment,1hop,high,auroc_advantage,203,0.0963894405748425,0.0938568376068376,24,0.0935709073253888,0.0866746484806086,0.0997319942946921,9.999000099990002e-05
topology_preferential_attachment,strict,low,auprc_advantage,201,-0.0323945251314191,-0.0250024404844421,23,-0.0370202449527804,-0.049882971673743,-0.0255002002354576,9.999000099990002e-05
topology_preferential_attachment,strict,low,model_score,201,-0.1739821582087579,-0.1849288801814431,23,-0.1746316310084163,-0.1974329564795701,-0.1496989273541713,9.999000099990002e-05
topology_preferential_attachment,strict,low,auroc_advantage,201,-0.0244259911339388,-0.0205278592375366,23,-0.0280134615852996,-0.0393060750012869,-0.0195512157663485,9.999000099990002e-05
topology_preferential_attachment,strict,medium,auprc_advantage,202,-0.0296809013311343,-0.0269476993481886,23,-0.0320176275112549,-0.0424327641318662,-0.023343262250642,9.999000099990002e-05
topology_preferential_attachment,strict,medium,model_score,202,-0.1718145747455669,-0.1904148248594326,23,-0.1725200276385662,-0.1928353570014058,-0.1534182519007998,9.999000099990002e-05
topology_preferential_attachment,strict,medium,auroc_advantage,202,-0.024050059105912,-0.0240274162971531,23,-0.0248018709415406,-0.0311235530672882,-0.0185834492240125,9.999000099990002e-05
topology_preferential_attachment,strict,high,auprc_advantage,203,-0.0391445804120078,-0.0368294206857701,24,-0.0420123702138153,-0.0504726460533083,-0.0345601897595678,9.999000099990002e-05
topology_preferential_attachment,strict,high,model_score,203,-0.2070504281815398,-0.2206644057450066,24,-0.2139322183687309,-0.2456338308713503,-0.1839597921937713,9.999000099990002e-05
topology_preferential_attachment,strict,high,auroc_advantage,203,-0.0316924166387141,-0.0299650320188742,24,-0.0336763831864132,-0.0408234118470896,-0.0275239349822027,9.999000099990002e-05
